Price,Number of rooms,Living Area,Terrace,Area of the terrace,Garden,Area of the garden,Surface area of the plot of land,Number of facades,zipcode
1300.0,4.0,180.0,True,40.0,True,1500.0,4200.0,2.0,4500
2500.0,5.0,270.0,True,83.0,False,0.0,1041.0,4.0,1332
1750.0,3.0,290.0,True,30.0,True,1500.0,1300.0,3.0,1730
900.0,5.0,975.0,True,40.0,True,9000.0,10002.0,4.0,1560
1300.0,3.0,116.0,True,20.0,True,1.0,390.0,3.0,9031
1380.0,3.0,140.0,False,0.0,True,2102.0,70.0,2.0,3020
1750.0,4.0,250.0,True,30.0,True,500.0,1000.0,4.0,1301
1375.0,2.0,154.0,True,6.0,True,164.0,341.0,3.0,2100
2200.0,3.0,130.0,False,0.0,True,80.0,185.0,2.0,1200
3300.0,6.0,300.0,True,12.0,True,100.0,300.0,3.0,1180
3200.0,4.0,250.0,True,40.0,True,400.0,600.0,3.0,1950
1400.0,3.0,170.0,False,0.0,False,0.0,582.0,3.0,3118
1800.0,2.0,154.0,True,15.0,False,0.0,100.0,2.0,1050
3350.0,4.0,275.0,True,25.0,True,25.0,120.0,2.0,1050
1400.0,4.0,240.0,False,0.0,False,0.0,1500.0,3.0,2940
2500.0,5.0,270.0,True,83.0,False,0.0,1041.0,4.0,1310
3200.0,6.0,370.0,True,24.0,True,2000.0,2200.0,3.0,3080
1875.0,3.0,230.0,False,0.0,False,0.0,1540.0,4.0,8210
2950.0,4.0,234.0,True,18.0,True,600.0,700.0,4.0,1950
975.0,3.0,102.0,True,13.0,False,0.0,102.0,2.0,8000
1200.0,3.0,135.0,False,0.0,True,27.0,100.0,2.0,1500
950.0,2.0,97.0,True,6.0,True,638.0,683.0,3.0,4860
790.0,3.0,116.0,True,70.0,False,0.0,114.0,2.0,4860
1590.0,3.0,120.0,False,0.0,True,150.0,300.0,3.0,1950
1350.0,3.0,138.0,True,20.0,True,100.0,150.0,2.0,1410
950.0,2.0,166.0,False,0.0,True,340.0,645.0,4.0,2960
850.0,2.0,117.0,True,7.0,True,128.0,180.0,3.0,4040
4500.0,8.0,380.0,True,14.0,True,70.0,417.0,2.0,1190
1950.0,3.0,200.0,True,37.0,True,532.0,929.0,4.0,3080
1500.0,2.0,130.0,True,10.0,True,80.0,247.0,3.0,1640
1350.0,4.0,280.0,True,60.0,True,2250.0,2400.0,4.0,2980
875.0,2.0,85.0,True,15.0,True,1000.0,1400.0,4.0,3130
1450.0,2.0,190.0,True,10.0,True,150.0,250.0,2.0,1933
1690.0,4.0,200.0,True,12.0,True,50.0,380.0,2.0,8200
