Unnamed: 0,To rent,To sell,Price,Number of rooms,Living Area,Fully equipped kitchen,Furnished,Open fire,Terrace,Area of the terrace,Garden,Area of the garden,Surface of the land,Surface area of the plot of land,Number of facades,Swimming pool,State of the building,zipcode,type,price_per_sq_m,region
10257523,True,False,1215.0,3.0,141.0,True,False,False,True,55.0,True,55.0,200.0,200.0,2.0,False,Excellentétat,2300,Maison,6.075,Flanders
10257861,True,False,1050.0,3.0,117.0,True,False,False,False,0.0,True,78.0,184.0,184.0,2.0,False,Bon,3400,Maison,5.706521739130435,Flanders
10259250,True,False,1900.0,3.0,130.0,True,False,False,True,20.0,True,300.0,365.0,365.0,3.0,False,Excellentétat,1170,Maison,5.205479452054795,Brussels
10259368,True,False,3750.0,4.0,300.0,True,False,False,True,30.0,True,750.0,1100.0,1100.0,3.0,True,Excellentétat,1410,Maison,3.409090909090909,Brussels
10259411,True,False,1375.0,2.0,150.0,True,False,False,True,33.0,True,185.0,185.0,185.0,3.0,False,Bon,1640,Maison,7.4324324324324325,Brussels
10261596,True,False,3750.0,4.0,264.0,True,False,False,True,60.0,True,1050.0,1150.0,1150.0,3.0,True,Bon,1410,Villa,3.260869565217391,Brussels
10262093,True,False,1700.0,4.0,180.0,True,False,True,True,20.0,True,250.0,600.0,600.0,4.0,False,Excellentétat,1472,Villa,2.8333333333333335,Brussels
10262805,True,False,4500.0,5.0,375.0,True,False,False,True,18.0,False,0.0,200.0,200.0,3.0,False,Excellentétat,1200,Maison,22.5,Brussels
10263744,True,False,1395.0,4.0,220.0,True,False,False,True,11.0,True,201.0,201.0,201.0,3.0,False,Bon,1310,Villa,6.940298507462686,Brussels
10264100,True,False,2900.0,5.0,350.0,True,False,False,True,100.0,False,0.0,400.0,400.0,3.0,False,Excellentétat,1180,Bienexceptionnel,7.25,Brussels
10264818,True,False,1590.0,2.0,253.0,True,True,False,False,0.0,True,80.0,80.0,80.0,2.0,False,Excellentétat,2850,Maison,19.875,Flanders
10264946,True,False,2200.0,4.0,272.0,True,False,False,True,15.0,True,70.0,340.0,340.0,3.0,True,Excellentétat,1410,Bienexceptionnel,6.470588235294118,Brussels
10265070,True,False,1800.0,3.0,200.0,True,False,True,True,25.0,True,300.0,1000.0,1000.0,2.0,False,Fraîchementrénové,1380,Maison,1.8,Brussels
10265969,True,False,1200.0,3.0,189.0,True,False,False,True,30.0,True,20.0,65.0,65.0,3.0,False,Excellentétat,5030,Maison,18.46153846153846,Wallonia
10267030,True,False,1350.0,4.0,229.0,True,False,False,False,0.0,False,0.0,655.0,655.0,4.0,False,Excellentétat,3202,Maison,2.0610687022900764,Flanders
10267255,True,False,1500.0,5.0,215.0,True,False,False,True,92.0,True,2500.0,2678.0,2678.0,4.0,True,Excellentétat,5340,Maison,0.5601194921583271,Wallonia
10267616,True,False,1090.0,1.0,74.0,True,False,False,True,10.0,False,0.0,130.0,130.0,3.0,False,Excellentétat,1390,Maison,8.384615384615385,Brussels
10268293,True,False,4750.0,4.0,370.0,True,False,True,True,70.0,True,900.0,1350.0,1350.0,4.0,False,Excellentétat,1410,Villa,3.5185185185185186,Brussels
10268294,True,False,5250.0,4.0,400.0,True,False,True,True,70.0,True,900.0,1350.0,1350.0,4.0,False,Excellentétat,1410,Villa,3.888888888888889,Brussels
10268599,True,False,2500.0,4.0,255.0,True,False,True,True,40.0,True,2500.0,2600.0,2600.0,4.0,False,Excellentétat,1380,Villa,0.9615384615384616,Brussels
10268712,True,False,945.0,4.0,165.0,True,False,False,True,30.0,True,75.0,110.0,110.0,2.0,False,Excellentétat,6761,Maison,8.590909090909092,Wallonia
10268835,True,False,900.0,3.0,207.0,True,False,False,False,0.0,False,0.0,70.0,70.0,3.0,False,Excellentétat,5651,Maisonbel-étage,12.857142857142858,Wallonia
10268862,True,False,1000.0,4.0,275.0,True,False,False,False,0.0,False,0.0,90.0,90.0,2.0,False,Excellentétat,5651,Maisonbel-étage,11.11111111111111,Wallonia
10269593,True,False,760.0,2.0,100.0,True,False,False,True,15.0,False,0.0,61.0,61.0,2.0,False,Excellentétat,9200,Maison,12.459016393442623,Flanders
10269625,True,False,750.0,2.0,80.0,True,False,False,False,0.0,False,0.0,80.0,80.0,2.0,False,Fraîchementrénové,7060,Maison,9.375,Wallonia
10269682,True,False,1650.0,4.0,215.0,True,False,False,True,35.0,True,1600.0,1800.0,1800.0,2.0,False,Fraîchementrénové,1440,Maison,0.9166666666666666,Brussels
10272667,True,False,2200.0,5.0,200.0,True,False,False,True,26.0,True,591.0,591.0,591.0,4.0,False,Excellentétat,1310,Villa,3.7225042301184432,Brussels
10272935,True,False,675.0,4.0,136.0,True,False,False,False,0.0,False,0.0,50.0,50.0,2.0,False,Excellentétat,9600,Maison,13.5,Flanders
10274092,True,False,1950.0,4.0,224.0,True,False,False,False,0.0,False,0.0,1572.0,1572.0,4.0,False,Bon,9830,Villa,1.2404580152671756,Flanders
10274745,True,False,1390.0,4.0,223.0,True,False,False,True,25.0,True,150.0,277.0,277.0,2.0,False,Excellentétat,6210,Maison,5.018050541516246,Wallonia
10274773,True,False,780.0,3.0,116.0,True,False,False,False,0.0,False,0.0,330.0,330.0,2.0,False,Bon,9500,Maisonbel-étage,2.3636363636363638,Flanders
10276454,True,False,2300.0,4.0,220.0,True,False,False,True,15.0,False,0.0,505.0,505.0,3.0,True,Excellentétat,1630,Maison,4.554455445544554,Brussels
10276482,True,False,1700.0,4.0,150.0,True,False,False,True,20.0,False,0.0,813.0,813.0,2.0,False,Excellentétat,1030,Bienexceptionnel,2.091020910209102,Brussels
10276626,True,False,880.0,3.0,120.0,True,False,False,True,8.0,True,77.0,146.0,146.0,2.0,False,Bon,4280,Maison,6.027397260273973,Wallonia
10276727,True,False,5000.0,8.0,350.0,True,False,False,True,20.0,True,88.0,188.0,188.0,2.0,False,Excellentétat,1000,Bienexceptionnel,26.595744680851062,Brussels
10276776,True,False,1200.0,5.0,217.0,True,False,False,True,40.0,True,674.0,814.0,814.0,4.0,False,Excellentétat,3300,Villa,1.4742014742014742,Flanders
